wishlistID,userID
1,871
2,816
3,836
4,280
5,375
6,333
7,57
8,256
9,644
10,856
11,251
12,943
13,790
14,305
15,431
16,118
17,515
18,15
19,516
20,190
21,167
22,249
23,438
24,83
25,364
26,969
27,5
28,916
29,609
30,224
31,389
32,602
33,578
34,557
35,508
36,603
37,790
38,140
39,721
40,457
41,465
42,821
43,7
44,743
45,693
46,748
47,527
48,888
49,697
50,644
51,545
52,843
53,886
54,295
55,692
56,304
57,436
58,832
59,264
60,768
61,870
62,913
63,543
64,320
65,150
66,927
67,364
68,240
69,917
70,870
71,364
72,413
73,629
74,674
75,864
76,534
77,752
78,692
79,976
80,849
81,638
82,177
83,69
84,360
85,989
86,584
87,761
88,628
89,283
90,291
91,988
92,598
93,475
94,190
95,286
96,816
97,123
98,215
99,485
100,42
101,888
102,5
103,888
104,686
105,760
106,504
107,706
108,227
109,938
110,708
111,120
112,827
113,4
114,702
115,26
116,601
117,944
118,68
119,569
120,308
121,883
122,635
123,595
124,150
125,291
126,805
127,622
128,109
129,542
130,591
131,484
132,921
133,706
134,847
135,146
136,493
137,958
138,326
139,754
140,13
141,843
142,523
143,422
144,561
145,382
146,986
147,554
148,274
149,466
150,104
151,914
152,57
153,474
154,877
155,983
156,30
157,926
158,349
159,581
160,691
161,357
162,585
163,472
164,75
165,299
166,778
167,538
168,578
169,172
170,842
171,146
172,71
173,483
174,525
175,297
176,177
177,512
178,746
179,517
180,199
181,228
182,553
183,62
184,31
185,172
186,595
187,259
188,376
189,781
190,849
191,433
192,154
193,546
194,922
195,964
196,434
197,151
198,67
199,750
200,139
201,537
202,229
203,323
204,504
205,778
206,748
207,155
208,236
209,664
210,528
211,78
212,801
213,986
214,654
215,106
216,57
217,459
218,274
219,322
220,517
221,85
222,196
223,180
224,886
225,378
226,566
227,567
228,597
229,640
230,687
231,850
232,655
233,479
234,785
235,43
236,4
237,781
238,95
239,855
240,874
241,943
242,979
243,591
244,688
245,812
246,827
247,805
248,174
249,891
250,581
251,886
252,391
253,372
254,129
255,732
256,44
257,200
258,335
259,866
260,285
261,472
262,384
263,402
264,25
265,774
266,382
267,95
268,257
269,598
270,395
271,926
272,350
273,98
274,261
275,393
276,393
277,662
278,922
279,717
280,552
281,115
282,432
283,103
284,682
285,198
286,561
287,989
288,49
289,708
290,609
291,182
292,367
293,433
294,977
295,841
296,643
297,164
298,602
299,472
300,405
301,700
302,504
303,916
304,287
305,496
306,872
307,96
308,988
309,301
310,242
311,111
312,642
313,418
314,37
315,334
316,262
317,770
318,32
319,281
320,2
321,385
322,34
323,236
324,541
325,485
326,881
327,392
328,242
329,386
330,361
331,351
332,279
333,455
334,391
335,162
336,696
337,56
338,833
339,972
340,667
341,868
342,824
343,608
344,556
345,314
346,273
347,66
348,807
349,867
350,488
351,557
352,260
353,320
354,706
355,416
356,370
357,984
358,413
359,253
360,10
361,314
362,280
363,816
364,288
365,607
366,534
367,656
368,199
369,36
370,17
371,159
372,481
373,731
374,609
375,988
376,57
377,417
378,775
379,503
380,743
381,242
382,499
383,312
384,847
385,742
386,106
387,216
388,828
389,645
390,749
391,952
392,265
393,146
394,84
395,468
396,381
397,81
398,963
399,363
400,486
401,844
402,61
403,717
404,414
405,547
406,594
407,695
408,144
409,743
410,289
411,161
412,915
413,629
414,926
415,519
416,406
417,680
418,10
419,202
420,229
421,567
422,526
423,5
424,524
425,374
426,484
427,802
428,942
429,441
430,351
431,725
432,567
433,984
434,805
435,906
436,81
437,817
438,233
439,928
440,520
441,442
442,187
443,130
444,436
445,997
446,169
447,924
448,247
449,817
450,370
451,157
452,240
453,217
454,761
455,135
456,943
457,392
458,639
459,31
460,750
461,101
462,517
463,447
464,537
465,937
466,207
467,290
468,865
469,836
470,231
471,429
472,887
473,325
474,566
475,699
476,132
477,854
478,581
479,668
480,807
481,352
482,161
483,97
484,361
485,817
486,160
487,468
488,499
489,895
490,25
491,446
492,91
493,733
494,156
495,400
496,625
497,41
498,599
499,645
500,300
501,858
502,320
503,515
504,459
505,82
506,177
507,22
508,52
509,185
510,773
511,838
512,327
513,842
514,660
515,357
516,945
517,472
518,289
519,86
520,646
521,733
522,5
523,68
524,86
525,272
526,183
527,212
528,539
529,993
530,438
531,788
532,235
533,754
534,314
535,957
536,104
537,432
538,72
539,70
540,940
541,436
542,742
543,605
544,997
545,869
546,672
547,809
548,891
549,485
550,324
551,734
552,590
553,168
554,714
555,926
556,28
557,674
558,912
559,529
560,594
561,451
562,838
563,176
564,987
565,955
566,442
567,924
568,929
569,272
570,710
571,98
572,476
573,544
574,411
575,339
576,20
577,642
578,760
579,124
580,890
581,605
582,587
583,816
584,102
585,470
586,69
587,507
588,784
589,40
590,953
591,174
592,357
593,821
594,535
595,516
596,738
597,776
598,135
599,873
600,361
601,664
602,858
603,223
604,773
605,51
606,50
607,105
608,99
609,376
610,170
611,303
612,534
613,780
614,382
615,609
616,286
617,915
618,302
619,327
620,148
621,106
622,446
623,183
624,965
625,553
626,355
627,821
628,649
629,206
630,70
631,274
632,576
633,702
634,615
635,354
636,682
637,801
638,335
639,566
640,107
641,964
642,939
643,671
644,193
645,771
646,760
647,33
648,547
649,332
650,171
651,78
652,470
653,566
654,888
655,234
656,427
657,452
658,658
659,169
660,196
661,665
662,331
663,336
664,965
665,769
666,909
667,730
668,315
669,640
670,760
671,849
672,129
673,815
674,170
675,531
676,249
677,232
678,757
679,203
680,577
681,945
682,785
683,158
684,161
685,253
686,846
687,330
688,360
689,164
690,790
691,635
692,104
693,163
694,96
695,579
696,456
697,945
698,318
699,245
700,595
701,324
702,413
703,110
704,563
705,11
706,365
707,788
708,523
709,119
710,311
711,111
712,326
713,212
714,419
715,745
716,354
717,913
718,193
719,69
720,924
721,514
722,492
723,253
724,823
725,6
726,348
727,656
728,423
729,77
730,401
731,473
732,328
733,724
734,453
735,1
736,800
737,252
738,476
739,871
740,849
741,389
742,101
743,385
744,342
745,608
746,680
747,317
748,931
749,119
750,207
751,164
752,186
753,220
754,154
755,271
756,893
757,160
758,366
759,205
760,751
761,596
762,363
763,148
764,207
765,77
766,134
767,814
768,512
769,45
770,908
771,389
772,852
773,374
774,156
775,478
776,449
777,228
778,769
779,936
780,484
781,757
782,761
783,819
784,402
785,400
786,10
787,7
788,116
789,941
790,390
791,302
792,690
793,936
794,95
795,394
796,139
797,55
798,873
799,292
800,186
801,413
802,178
803,697
804,207
805,523
806,870
807,659
808,244
809,240
810,462
811,602
812,93
813,819
814,145
815,58
816,850
817,824
818,489
819,937
820,986
821,721
822,457
823,264
824,328
825,584
826,423
827,267
828,855
829,636
830,844
831,276
832,538
833,676
834,499
835,272
836,438
837,215
838,352
839,853
840,396
841,301
842,812
843,288
844,561
845,410
846,637
847,206
848,104
849,51
850,873
851,606
852,581
853,789
854,875
855,704
856,620
857,718
858,427
859,121
860,208
861,381
862,525
863,543
864,641
865,367
866,155
867,891
868,857
869,74
870,865
871,828
872,703
873,220
874,92
875,248
876,360
877,258
878,167
879,311
880,260
881,154
882,403
883,487
884,961
885,248
886,941
887,15
888,875
889,574
890,576
891,330
892,234
893,651
894,63
895,259
896,364
897,527
898,74
899,827
900,664
901,670
902,640
903,812
904,336
905,493
906,907
907,928
908,241
909,695
910,387
911,752
912,343
913,677
914,70
915,135
916,268
917,847
918,577
919,881
920,488
921,542
922,399
923,265
924,847
925,685
926,235
927,186
928,445
929,284
930,328
931,355
932,684
933,299
934,599
935,285
936,659
937,682
938,774
939,315
940,169
941,784
942,569
943,654
944,868
945,97
946,544
947,964
948,256
949,963
950,609
951,842
952,450
953,788
954,281
955,210
956,835
957,858
958,663
959,232
960,438
961,94
962,108
963,295
964,740
965,662
966,159
967,58
968,867
969,715
970,839
971,138
972,95
973,845
974,254
975,414
976,701
977,278
978,14
979,452
980,262
981,40
982,418
983,406
984,428
985,622
986,727
987,402
988,157
989,821
990,422
991,610
992,813
993,97
994,646
995,939
996,623
997,751
998,845
999,253
1000,174
